pharmacy_id,pharmacy_name,city,country,latitude,longitude,contact_email
259a208f-b313-463e-ad3d-5a782afc4090,MedTrust Pharmacy,New Delhi,India,28.392133,77.353852,pharma-5359@newdelhi.in
45d66cbe-30ed-418c-8b1b-685a2345027c,JeevanDhara Pharmacy,New Delhi,India,28.382665,77.07351,pharma-1685@newdelhi.in
d7f73f8d-0afc-48dd-a24c-2b6bd4e3c0d0,Swasthya Pharmacy,Pune,India,18.26524,74.001175,pharma-9557@pune.in
3fb21c16-33c8-446a-ab05-587010a68ee0,LifeCare Pharmacy,New Delhi,India,28.699713,77.451743,pharma-9520@newdelhi.in
47e3d1e6-f711-4216-9547-fb205f50c5bd,Nirog Pharmacy,Patna,India,25.527912,85.014004,pharma-8753@patna.in
9ec0ce50-f84a-4bc1-b5e5-4d2a979774e7,JeevanDhara Pharmacy,Agra,India,27.097978,77.808184,pharma-8036@agra.in
df82c109-e962-46ab-acdc-843a99dbee27,Aushadhi Pharmacy,Agra,India,27.390998,78.514595,pharma-6620@agra.in
bf1789f7-ed7d-4a6e-8dd1-b7c49f0e3a62,Swasthya Pharmacy,Ludhiana,India,30.791428,75.946205,pharma-6918@ludhiana.in
15e32181-8ff9-4fed-89e7-327f8420de18,LifeCare Pharmacy,Rajkot,India,22.280577,70.868461,pharma-1937@rajkot.in
f19bc0eb-bd28-4448-a86e-a63d10a12ae8,Aushadhi Pharmacy,Nashik,India,20.156455,73.618336,pharma-2641@nashik.in
3b44492a-ac0a-4d6a-8f61-9f00fcae3188,Nirog Pharmacy,New Delhi,India,28.542111,77.389473,pharma-7583@newdelhi.in
12ba8031-c15e-414a-8af5-e7e94b61423b,MedTrust Pharmacy,Jaipur,India,26.988725,75.836398,pharma-3013@jaipur.in
2572a7ff-fcfa-4a13-b978-cea06e2b8ac3,CarePlus Pharmacy,Kochi,India,10.007653,76.358484,pharma-5072@kochi.in
60cf1de2-bdf3-422d-aa8a-012631150d91,Nirog Pharmacy,Faridabad,India,28.582565,77.430866,pharma-8785@faridabad.in
